filename,original,descriptions
img_0051,"Example rollouts on the Maze2D-medium-v1 environment. The goal is located at the bottom right corner of the maze. The trajectory waypoints are color-coded, transitioning from blue to red as time advances. The bottom two rows demonstrates that Diffuser, DD, and DS{} are all capable of generating good plans that can be executed well with a handcoded controller. However, the respective action models result in differing executions. Compared to DD and Diffuser, DS{} generates smoother trajectories that are more closely aligned with the future waypoints planned by the observation model.","Five gray rectangles placed vertically on top of each other, each containing the bold label ""Image"" and a descriptive label to its left. At the top of the stack, a square-shaped gray box labeled ""Goal"" on top, also contains the ""Image"" text. From top to bottom, the five rectangles are labeled as ""Diffuser"", ""DD"", ""DS"", Diffuser with Handcoded Controller"" and ""DS / DD with Handcoded Controller""."
img_0052,"image positions up & down pattern on a scale from 0 to 1
 
 I want to make the image arrangements as shown in the attachments. But I have no clue how to make such image arrangements. Please provide a solution to this problem.","A horizontal sequence of gray squares arranged in two rows above a horizontal axis labeled 0.0 to 1.0. Each square contains a large black letter ""A"" and is connected to the axis by a vertical arrow pointing downward. The squares alternate in position between the closer row to the axis and the row further above it."
img_0053,The types of the chords that pass through $c$.,"A circle with a straight vertical arrow running through its center from top to bottom, labeled with r(c), c and l(c) along it. At the top and bottom ends of the vertical arrow, the labels sign(c) and - sign(c) are placed. Two horizontal arrows run along the top and bottom edges of the circle. The top arrow points to the left and the bottom arrow to the right. The right half of the circles boundary is a dashed line connecting two black dots on the circle. The upper dot is labeled as ""the tail"" and the lower dot is labeled as ""the head""."
img_0054,"Landmark graph $\mathcal{G}(W)$ of a resolving set for $HG(3,3,3;3)$. The six landmarks in $W$ are $(1,1,1)$, $(1,2,2)$, $(1,3,3)$, $(2,2,1)$, $(2,3,2)$, and $(2,1,3)$. Landmarks in the same blue (solid) hyperedge have the same first coordinate; landmarks connected by a green (dotted) edge have the same second coordinate; and landmarks connected by a pink (dashed) edge have the same third coordinate.","Two horizontal capsule shaped blue outlines, one on top and one on the bottom. Inside each blue capsule are three black dots aligned horizontally and each dot is labeled with a coordinate. In the upper blue capsule the points from left to right are labeled (1,1,1), (1,2,2) and (1,3,3). In the lower blue capsule the points from left to right are (2,2,1), (2,3,2) and (2,1,3). The point (1,1,1) is connected to (2,2,1) by a green dotted line and to (2,1,3) by a green dotted line. The point (1,2,2) is connected to (2,3,2) by a pink dotted line and to (2,2,1) by a green dotted line. The point (1,3,3) is connected to (2,1,3) by a pink dotted line and to (2,3,2) by a green dotted line."
img_0055,"The graphs $K_{1,n}^*,\, K_n^*,\, CK_n,\, T_n$ and $K_n^n.$","The figure shows five different graph structures. From left to right, the first graph labeled $K^*_{1,n}$ consists of a single central node on the left connected to multiple vertically aligned nodes on the right. The second graph, labeled $K^*_{n}$, consists of vertical pairs of nodes and connected to its corresponding right-side node. The left side nodes are enclosed in a rectangle, while the right side nodes are outside. The third graph, labeled $CK_n$, also shows vertical columns of node pairs, but this time each set of nodes is fully enclosed in separate rectangles. The fourth graph, labeled $T_n$, again shows vertical columns of nodes, with only the left side placed inside a rectangle. All nodes in the graph are connected to each other forming many overlapping edges. The fifth graph, labeled $K_n^n$, shows a circle with a node at the top and the bottom, each connected to multiple nodes outside."
img_0056,\textbf{Isotropic hardening - reference solutions.} Five stress-strain curves sampled from the isotropic hardening material model for different maximum strains obtained from \autoref{eq:plasticity}.,"A stress-strain diagram. The x-axis is labeled ""strain"" with units ranging from 0-8 and multiplied by $10^{-3}$. The y-axis is labeled ""stress [MPa]"" with units -200, 0 and 200. The plot shows multiple diagonal and parallel lines with horizontal top and bottom lines."
img_0057,"Remove tikz borders in standalone figure
 
 When creating a simple square with lines, standalone adds some white space (borders) because the line width exceeds the fill limits. 
 \documentclass[tikz]{standalone}
 \usepackage{tikzpagenodes}
 \usetikzlibrary{arrows}
 \usepackage{xcolor-material}
 
 \tikzstyle{linha} = [line width=7pt,MaterialGrey300]
 
 
 \begin{document}
 
 \begin{tikzpicture}
 [every node/.append style={text=MaterialGrey300, 
 font=\Huge}]
 \fill[MaterialGrey800] (0,0) rectangle (20,20);
 \draw[linha] (0,0) -- (20,20);
 \draw[linha] (0,20) -- (20,0);
 \end{tikzpicture}
 
 
 \end{document}
 
 
 Perhaps this is a trivial question, but is there a way to remove this white space? I tried adding a page color, which improved the situation a little bit, but then the lines do not ""bleed"" out of the angles (i.e., there are little colored triangles).","A dark gray square with two thin white diagonal lines from corner to corner, one goes from the top-left to the bottom-right and the other goes from the top-right to the bottom-left. These two lines precisely intersect at the center of the square, dividing it into four right-angled triangles."
img_0058,"Forest package: How to use \forestset in the preamble?
 
 I'm trying to automate the layout for certain trees that I wish to use repetitively, but I don't seem to be able to get the \forestset command to work in the preamble. In the codes below, I suppose that the commented-out portion of the file in the main document, should be unnecessary, once this information has been passed on to the preamble. But as it currently stands, the preamble information fails to amend the default layout of the resulting tree. (Note that this doesn't produce a compilation error, either.)
 \documentclass[10pt,oneside,pdftex,dvipsnames,a4paper]{article}
 \usepackage{forest}
 \forestset{ 
 sn edges/.style={
 for tree={
 grow'=0, 
 l=0pt, inner sep=0.075cm, s sep=0.1mm,
 child anchor=west,parent anchor=south,
 anchor=west,calign=first,
 edge path={
 \noexpand\path [draw, \forestoption{edge}]
 (!u.south west) +(7.5pt,0) |- node{} (.child anchor)\forestoption{edge label};
 },
 before typesetting nodes={
 if n=1
 {insert before={[,phantom]}}
 {}
 },
 fit=band,
 before computing xy={l=15pt},
 }
 }
 }
 %-------------------------------------------------------------
 \begin{document}
 \begin{forest}
 % for tree={
 % grow'=0, 
 % l=0pt, inner sep=0.075cm, s sep=0.1mm,
 % child anchor=west,parent anchor=south,
 % anchor=west,calign=first,
 % edge path={
 % \noexpand\path [draw, \forestoption{edge}]
 % (!u.south west) +(7.5pt,0) |- node{} (.child anchor)\forestoption{edge label};
 % },
 % before typesetting nodes={
 % if n=1
 % {insert before={[,phantom]}}
 % {}
 % },
 % fit=band,
 % before computing xy={l=15pt},
 % }
 [$B$
 [$B_{1}$]
 [$B_{2}$
 [$A$
 [$A_{1}$,tikz={\node [draw,inner sep=0.5pt,fit to=tree]{};}]
 [$A_{2}$
 [$D$]
 [$E$]
 ]
 [$A_{3}$
 ]
 ]
 ]
 ]
 \end{forest}
 \end{document}","A hierarchical tree diagram with labeled nodes. The root node is labeled B, which branches into $B_1$ and $B_2$. The label $B_2$ is further connected downward to another node labeled A, which branches further into three sub-nodes: $A_1$, $A_2$ and $A_3$. $A_1$ is highlighted with a rectangular box around it and $A_2$ branches into two labels: D and E."
img_0059,"Charge excitation (red dot) and string-like excitation (deep blue dashed line, consisting of a series of light blue plaquettes where the local flatness condition is violated) that terminat on the boundary in the three-dimensional GT model with gapped boundaries.","A grid of diagonal and horizontal gray lines. On top of this grid is a thicker black grid patter. A dashed blue line starts from the left side and makes two right-angle turns as it moves toward the top-right. The region of the grid, where the dashed blue line passes is filled with a light blue background. A red dot is placed near the center-right of the grid, positioned at an intersection between two grid lines."
img_0060,"Dimension too large error (apparently no calculation involved)
 
 From what I have read so far, a Dimension too large! is caused by a result or an intermediate calculation that goes beyond the limit of 16384.
 I get this error with this document (note: the doubledash setting comes from this answer; and using 2pt instead of 2.5pt does not solve the case.):
 \documentclass[a4paper,12pt]{article}
 
 \usepackage{tikz}
 \usetikzlibrary{angles,decorations.markings}
 
 \tikzset{doubledash/.style={decoration={ markings, %
 mark= at position 0.5
 with{
 \draw (-1pt,-2.5pt) -- (-1pt,2.5pt);
 \draw (1pt,-2.5pt) -- (1pt,2.5pt);
 } },
 pic actions/.append code=\tikzset{postaction=decorate}}}
 
 \begin{document}
 
 \begin{tikzpicture}
 % Text font size
 \scriptsize
 
 % Declare Points
 \coordinate (G) at (0,0);
 \coordinate (U) at (1.5,0);
 \coordinate (M) at (0.75,0.661);
 
 % Draw IsoscelesTriangle
 \draw[thick] (G)
 -- (U)
 -- (M)
 -- cycle
 pic [draw, thick, angle radius = 0.25 cm, doubledash] {angle = U--G--M}
 pic [draw, thick, angle radius = 0.25 cm, doubledash] {angle = M--U--G};
 
 % Label Points
 \draw (G) node[left] {G};
 \draw (U) node[right] {U};
 \draw (M) node[above] {M};
 \end{tikzpicture}
 
 \end{document}
 
 Exact error message:
 ! Dimension too large.
 <to be read again> 
 \relax 
 l.31 ...ius = 0.25 cm, doubledash] {angle = U--G--M}
 
 The doubledash hatchmarks seem necessary to get the error, if both of them are removed, then the document compiles:
 
 I guess the 16384 limit has been reached by some internal calculation were the doubledash is involved, but how exactly, I have no idea...
 It's worth noticing that other pictures did compile while preserving the doubledash but that some of them required to round the coordinates to the tenth, what, in the case of an isosceles triangle, is not really satisfying since the triangle then looks slightly slanted. In the example above, this solution actually ""works"" too, but required to round the coordinates of M to the unit, what is even worse (after that, the triangle doesn't look isosceles at all!).
 Some more context
 I am currently working on a software library (written in python) that creates such TikZ code in an automated way and I need to be able to anticipate when this error will be triggered, in order to produce a compilable picture. It's not possible to try to compile the produced code and then try again and again with slightly different values until it's ""ok"" (and the picture maybe quite different than expected).
 Question
 How to ensure that the document will compile before trying to compile?
 EDIT: from Zarcos' answer, it seems that increasing the angle's radius solves the problem. But how is it possible to anticipate which minimal value will be required for the picture to compile well? (The 1st example requires 0.35 cm, and the 2d example, below, requires 0.85 cm).
 Extra example that does not compile, yet with a larger radius
 \documentclass[a4paper,12pt]{article}
 
 \usepackage{tikz}
 \usetikzlibrary{angles,decorations.markings,quotes}
 
 \tikzset{doubledash/.style={decoration={ markings, %
 mark= at position 0.5
 with{
 \draw (-1pt,-2pt) -- (-1pt,2pt);
 \draw (1pt,-2pt) -- (1pt,2pt);
 } },
 pic actions/.append code=\tikzset{postaction=decorate}}}
 
 
 \begin{document}
 
 \begin{tikzpicture}
 % Text font size
 \scriptsize
 % Declare Points
 \coordinate (A) at (0,0);
 \coordinate (E) at (-1.35,1.609);
 \coordinate (F) at (-1.837,1.018);
 
 % Draw Angles
 \draw[thick] (E) -- (A) -- (F)
 pic [""$\alpha$"", draw, angle eccentricity=1.3333, angle radius = 0.84 cm, thick, doubledash] {angle = E--A--F};
 
 % Label Points
 \draw (A) node[below] {A};
 \draw (E) node[above] {E};
 \draw (F) node[below left] {F};
 \end{tikzpicture}
 
 \end{document}","A triangle outlined with a thick black line and the vertices are labeled with M at the top vertex, G at the bottom-left vertex and U at the bottom-right vertex. The two angles at G and U are marked with double arcs, indicating that these two angles are congruent."
img_0061,CBMC architecture,"A flowchart illustrating the sequence of processing stages and relationships between them. At the top is the starting block labeled ""Command-line front end"", which connects downward to the ""C parser"". From there, the flow continues horizontally to the right through ""Type checking"" to ""GOTO conversion"". A downward arrow then leads to ""Static analysis and instrumentation"", followed by another downward step to ""Symbolic execution"". The process then proceeds horizontally to the right through ""Formula conversion"" and ""SAT or SMT solver"". The last block labeled ""Counterexample analysis"" and connected with a downward arrow."
img_0062,The T.3.1 graph,"A graph composed of connected nodes with different shapes: black circles, white squares and white circles. All edges are horizontal or vertical. At both the top and bottom of the figure are identical horizontal chains that begin with black circles and continue with a sequence of white squares connected by edges labeled ""-2"". These chains extend to the right and then bend vertically, one upward and the other downward, connecting to a central vertical chain that includes two white circles. The node connecting this vertical chain is labeled -(m+n+3). The upper segment of white squares is labeled m, while the lower segment is labeled $\bar{n}$. At the center of the figure, a longer horizontal chain with white squares extends from the central vertical chain node to the left. This segment is labeled m + n - 1 and its edges are marked with ""-2""."
img_0063,"Whilst the majority of the training images for \textit{Site 3} in the NeRF-OSR dataset \cite{rudnev_nerf_2022} show the front of the building in shadow. With our visibility network enabled our predicted albedo removes that shading along with shadows around the sign \textit{(a)}, at the joint between brick and plaster \textit{(b)} and on the ground \textit{(c)}. Smaller cutouts show renderings with sky visibility on the left and without sky visibility on the right.","A square with a gray background and the word ""Image"" written in bold at the center. The square is divided by a vertical line, a horizontal line and two diagonal lines, creating eight triangular sections. The top-left section of the square is labeled ""With Visibility"", while the top-right section is labeled ""Without visibility"". in the bottom half of the square, three red point are labeled a), b) and c)."
img_0064,An example of a side of a polygon with a not extremal point.,"The figure consists of four black dots, with three arranged vertically along the left side and one positioned to the right. The topmost left dot is labeled i and directly below is a dot labeled $q_i$ and at the bottom is a dot labeled i+1. On the right side, horizontally aligned with the middle dot ($q_i$), is another dot labeled i-1. A blue arrow, labeled $v_i$, points downward from the dot labeled i to the one labeled i+1, passing through $q_i$. A red arrow, labeled $v_{i-1}$, points diagonally from the dot labeled i-1 to the dot labeled i."
img_0065,"PGFPlots: How to use a parameter t when plotting in 2D
 
 I would like to plot some characteristic curves of the wave equation with parameter t which is time.
 x - \frac{\omega}{k}t = c
 
 where \frac{\omega}{k} is the phase velocity and c is constant.
 In my example, I let c = 2; however, what do I with t?
 \documentclass[tikz, convert = false]{standalone}
 \usepackage{pgfplots}
 \pgfplotsset{compat = 1.8}
 
 \begin{document}
 \begin{tikzpicture}
 \begin{axis}
 [
 restrict x to domain = 0:5,
 restrict y to domain = 0:5,
 samples = 1000,
 ]
 \foreach \v in {1, 2, ..., 5}{
 \addplot[red, domain = 0:5] {x - \v * t - 2};
 }
 \end{axis}
 \end{tikzpicture}
 \end{document}",A plot showing red diagonal lines within a coordinate system. The x-axis is labeled from 0 to 5 and the y -axis is labeled from 0 to 4. Inside the plot many diagonal lines extend diagonally right upward from the x-axis. This creates a pattern of parallel lines.
img_0066,A flowchart showing the steps in the data preparation pipeline.,"A flowchart for processing video and transcript data. The flow begins with two parallel processes at the top. On the left, a blue box labeled ""Video download"" flows downward to another blue box labeled ""Wav extraction"". On the right, an orange box labeled ""Transcript XML download"" flows downward to ""Transcript parsing"", followed by another orange box labeled ""Preprocessing"". Both the ""Wav extraction"" and ""Preprocessing"" are connected to a orange box labeled ""Segmentation"". From ""Segmentation"", the flow goes donward into a final orange box labeled ""Post-processing/speaker matching""."
img_0067,Graph for Example~\ref{CyclicOverlapExample}.,"A labeled directed graph consisting of three states and multiple transitions. There are three circular nodes labeled $v_0$, $v_1$ and $v_2$, arranged from left to right. From $v_0$ to $v_1$, there is a arrow labeled 1 and another one from $v_1$ to $v_2$ labeled 0. From $v_2$ to $v_1$, a curved arrow is labeled 1 and from $v_2$ to $v_0$, a curved arrow is labeled 0. $v_0$ has a self-loop labeled 0."
img_0068,"Node contents when placing a node on path
 
 In TikZ one can specify a node by a command like
 \path (0,0) node[node contents=A];
 
 This is very useful if one wishes to apply a command to the text in the node, say, to avoid writing
 \node at (0,0) {\contour{red}{A}};
 
 and simply set
 \path (0,0) node[node contents={\contour{red}{A}}];
 
 (which comes very handy when used repeatedly!)
 However, there are some restrictions in the syntax, because the parsing of the command stops after node contents is found. In particular, this seems to prevent one from placing such a node on a path by means of decorations.markings library. Below is the minimal (non-)working example:
 \documentclass{standalone}
 \usepackage{tikz}
 \usetikzlibrary{decorations.markings}
 
 \begin{document}
 
 \begin{tikzpicture}
 \path (.5,0) node[node contents={A}];
 \draw[postaction=decorate,decoration={markings,mark=at position 0.5 with \node {B};}] (0,-1) to (1,-1);
 \draw[postaction=decorate,decoration={markings,mark=at position 0.5 with \node[node contents=C];}] (0,-2) to (1,-2);
 \end{tikzpicture}
 
 \end{document}
 
 The last command raises an error ""Paragraph ended before \tikz@fig@scan@options was complete. ...node[node contents=C];}] (0,-2) to (1,-2);""
 Is there a workaround?","Four uppercase letters A,B,C and D in a vertical order from top to bottom. The letter A appears at the top without any additional marking. Below, the letters B, C and D are each centered on a horizontal line which passes through the middle of the letter. The thickness of the horizontal line increases from B to D."
img_0069,Graph of the sigmoid function $\zeta(\alpha)$.,A plot of the sigmoid function. The x-axis is labeled $\alpha$ with the origin labeled 0 and the y-axis ranges from 0 to 1 with dashed horizontal lines marking the values 0.5 and 1.0. A blue curve starts near the x-axis on the left side and approaches 1 asymptotically as $\alpha$ increases. The curve is labeled in blue as $\zeta(\alpha) = \frac{1}{1 + e^{-\alpha}}$.
img_0070,The Sakai Surface for the generalized Laguerre recurrence,"The figure presents a transformation between two diagrams. On the left is a square with horizontal and vertical lines labeled $H_z$ and $H_y$. The corners are labeled x=0, x=$\infty$, y=0 and y=$\infty$. At the outline of the square red dots labeled $q_1$ through $q_8$ are placed and some connected outwards to each other. On the right is a square that consist of red and blue edges labeled with expressions such as $F_1 - F_2$, $H_y - F_1$ and $H_z - F_6$. The numbers ranges from 1 to 13. An arrow labeled $Bl_{q_1,...,q_n}$ points from the right diagram to the left."
img_0071,Components of our technique for inductive invariant inference.,"A block diagram for a verification workflow. It takes two inputs, labeled ""Spec"" and ""Safe"", which enter the system from the top-left. Inside the main box, the process begins with a purple block labeled ""Invariant Generator"", which receives the Spec input and produces$I_{new}$. This output is stored in a cylinder labeled ""Invs"". From Invs, a set of invariants I $\subseteq$ Invs is passed to the next component, the ""CTI Eliminator"" shown as a blue rectangle. Directly below is another blue rectangle labeled ""CTI Generator"", which also receives the Spec input and outputs ""CTIs"" for the CTI Eliminator. Both blue rectangles are inside a big gray rectangle. On the right side of the diagram is a white rectangle labeled $\text{Ind} \triangleq \bigwedge \text{Safe} \wedge A_1 \wedge \cdots \wedge A_k \wedge A_{k+1}$. It receives two inputs: Safe and $A_{k+1}$, the latter coming from the CTI Eliminator. An arrow points to the CTI Generator and another arrow exits this block to the right, labeled ""Output""."
img_0072,Illustration of the remote MDP problem exemplifying level C pragmatic communications: an intelligent controller controls an agent over a wireless channel to maximize its reward through interactions with the environment.,"Three gray square with ""Image"" in black bolt inside of it. At the center top is a large gray box labeled ""Environment"", containing an image placeholder. To its left is a smaller gray box labeled ""Controller"", also containing an image placeholder and to the right is another gray small gray box labeled ""Robot (agent)"", also with an image placeholder inside. An arrow labeled ""State and reward"" points from the Environment to the Controller, while another arrow labeled ""Actions"" points from the Robot to the Environment. A dashed arrow, labeled ""Wireless channel"" connects the Controller to the robot."
img_0073,"$P_{11}=(\Gamma_1^{(11)},\Gamma_2^{(11)},\Gamma_3^{(11)})$ of type $(E_6,E_6,I_6)$","Three undirected graphs side by side, each consists of six nodes labeled 1 to 6 but with different edge structures and colors. The left graph is drawn in red and connects the nodes (1,2), (2,3), (3,4) and (4,5), which results roughly in a hexagonal shape. The middle graph is drawn in orange and connects the nodes (1,4), (1,6), (5,3, (6,2) and (6,5). The right graph is drawn in blue and connects (1,3), (1,5), (2,4), (2,5) and (4,6) roughly shaping a star shape."
img_0074,A $K_4$-free graph attaining maximum number of triangles.,"The figure shows a large equilateral triangle with black edges and black vertices, containing a structure of smaller colored triangles. Inside the main triangle, multiple points (marked as black dots) are connected by blue and red lines, forming several layers of smaller triangles."
img_0075,Huffman Tree of Example \ref{moreBadWine}.,"A binary tree of size 11 and height 3. The root node is labeled 1, from there two branches emerge with the left child labeled 0.4 and the right child labeled 0.6, The node labeled 0.4 splits into two children, with the left children labeled 0.2 and the right labeled $p_{34}$. The 0.2 node again splits into two leaves and the left leaf is labeled $p_{12}$ and the right leaf is labeled $p_{13}$. The node 0.6 splits also into two children and the left child is labeled $p_{24}$ and the right child is labeled 0.3. The 0.3 node splits into two leaf nodes, the left leaf is labeled $p_{14}$ and the right leaf is labeled $p_{23}$."
img_0076,"Highlight an equation within an align environment
 
 I would like to define a command that puts a red box around an equation with yellow highlighting. I have the basics working pretty well. What I am unable to figure out is:
 
 How to keep the alignment of the equations on the equal sign.
 Be able to have the alignment character within the call to highlight box. That is, I would really prefer to be able to say something like:
 \highlightbox{g &= f}
 
 instead of what I resorted to doing below.
 Here is what I have so far:
 \documentclass[11pt]{article}
 \usepackage{color}
 \usepackage{amsmath}
 \usepackage{amssymb}
 \usepackage{amsfonts}
 
 \newcommand{\highlightbox}[1]{%
 \setlength{\fboxrule}{6pt}\fcolorbox{red}{yellow}{#1}\quad%
 }
 
 \begin{document}
 \begin{align*}
 \highlightbox{a} &\highlightbox{= b} \\
 c & = d \\
 e & = f \\
 \highlightbox{g} &\highlightbox{= f} \\
 \end{align*}
 \end{document}","A collection of mathematical expression arranged vetically. At the top, there is a equation a=b in a yellow box with a red border. Directly below it are two equations, c=d and e=f, without any boxes or background colors. At the bottom of the figure is a much more complex expression, which is placed in a yellow box with a red outline and contains $\lim_{x \to 0} \frac{\sin x}{x} = \int_{-\pi}^{\pi} \frac{\sqrt{x^2 - 1}}{2x} \, dx$."
img_0077,"The support of $f = 3x + y + xy^2 +xy + x^3y^3 + x^4y^4$ and its different $(1,1)$-fibers.","Figure shows three diagonal lines, each ascending from the lower left to the upper right, with colored points placed along them. The bottom-left line contains two blue points labeled y and $xy^2$. In terms of length, this line is neither the shortest nor the longest among the three. The middle diagonal, which is the longest, got green points labeled xy, $x^3y^3$ and $x^4y^4$ along it. The shortest line appears at the bottom-right and contains a single red point labeled 3x."
img_0078,"The contracting process. At the end, the intersection number between two red lines is $\frac{n-1}{2}$. The intersection number of red and black lines is just one.","A step by step diagram consisting of three steps in vertical segments. At the top of the figure, there is a horizontal line labeled n. Several vertical lines labeled 1, cross it to make it appear like a table. On the right side a horizontal line crosses the vertical line and is labeled n-2, n-4,..., 1. An arrow points downward to the next step which consists of these vertical lines to be now vertical to cross through a central point which results in a X-shape. The previous values on the right side (n-2, n-4, ...) are replaced with a new descending sequence from n-6 down to 1 on the eft side. The diagonal lines are both labeled 1. Another arrow points downward to the last step where the diagram is simplified completely with a horizontal black line labeled 1 and two red lines labeled 1. The red lines form an X shape, with all of the 3 lines crossing at the middle point."
img_0079,"Nodes and matrix of nodes
 
 I know thanks to @TorbjørnT. that messing with nodes and matrix of nodes is not recommended as you would no more be able to use (m-1-1) for a coordinate of a cell of a matrix m. (cf. Compilation problem with tikz diagram)
 Now my question is: I define a node shape like that
 \newcommand{\bSum}[4]{ 
 \node [draw=\linecolor, circle,minimum size=1.5em, \linetype, fill=\backgroundcolor, drop shadow={opacity=\dark}] (sum) at (0,0) {}; 
 \node [draw, cross out, minimum size=1.0em, thin, draw=gray!50] {}; 
 \node [above of= sum, node distance = 0.45em] () { \color{\colortext}\tiny{$#1$}}; 
 \node [left of= sum, node distance = 0.45em] () { \color{\colortext}\tiny{$#2$}}; 
 \node [below of= sum, node distance = 0.45em] () { \color{\colortext}\tiny{$#3$}}; 
 \node [right of= sum, node distance = 0.45em] () { \color{\colortext}\tiny{$#4$}}; 
 }
 
 There is no way for me to use only \draw command to design such a shape because of its arguments.
 If I try to use this (now compilable) code, if I uncomment the \draw ... it won't work:
 \documentclass{standalone}
 \usepackage{tikz}
 \usetikzlibrary{matrix}
 \usepgflibrary{shapes.misc}
 \usetikzlibrary{arrows,shadows}
 
 \newcommand{\bSum}[4]{ 
 \node [draw, circle,minimum size=1.5em, fill=white, thick, drop shadow={opacity=1}] (sum) at (0,0) {}; 
 \node [draw, cross out, minimum size=1.0em, thin, draw=gray!50] {}; 
 \node [above of= sum, node distance = 0.45em] () {\tiny{$#1$}}; 
 \node [left of= sum, node distance = 0.45em] () {\tiny{$#2$}}; 
 \node [below of= sum, node distance = 0.45em] () {\tiny{$#3$}}; 
 \node [right of= sum, node distance = 0.45em] () {\tiny{$#4$}}; 
 }
 
 \begin{document}
 \begin{tikzpicture}
 \matrix (m) [matrix of nodes, ampersand replacement=\&, column sep = 1.5cm, row sep = 1.2cm]{
 \bSum{+}{+}{-}{}\\
 };
 %\draw (m-1-1) -- (0,0); % <- where it fails
 \end{tikzpicture}
 
 \end{document}
 
 Does a trick exist to allow me to get the same result WITH the possibility to access to (m-1-1) ?","A directed graph with two labeled nodes labeled as A (bottom left) and B (top right). On the top left and bottom right there are two black circles outlined and each is divided by an X in 4 parts. The top left circle contains in the top part a plus sign (+), the left part contains another plus sign (+), the bottom part a minus sign (-) and the right part is empty. The bottom-right circles top part is empty and the left part contains a circle with a point in it. The bottom part contains an upward curve and the right part contains a dual-direction curve. A black arrow points from the top-left circle to the bottom right circle and another arrow points from A to the bottom right circle."
img_0080,A commutative diagram of semantic contexts.,"A square with a gray background and the word ""Image"" written in bold at the center. The square is divided by a vertical line, a horizontal line and two diagonal lines, creating eight triangular sections. The top-left section of the square is labeled ""Polarity-based frames"", the bottom-left ""Graph-based frames"", the bottom-middle ""Kripke frames"", the bottom right ""MV-Kripke frames"" and the top-right section ""MV-Polarity-based frames"". Throughout the square red words are placed ""lifted"", ""shifted"" and ""verbatim the same"". The last phrase is also displayed in blue."
img_0081,Generating supervised learning pair. The network input are the shadow mapping buffers modulated by a scalar value indicating the size of an emitter. The targets are generated using ray-tracing with corresponding emitter size.,"A square with a gray background and the word ""Image"" written in bold at the center. The square is divided by a vertical line, a horizontal line and two diagonal lines, creating eight triangular sections. The top-left section is labeeld ""Buffer ($c_e$) + Emitter size (i)"", the top-middle section ""Other buffers (shared across emitters) and the top-right is labeled ""Ray-traced target"". Throughout the square blue mathematical expressions are placed like $c_e+i$, $c_e+0$ and $\frac{z}{z_f}$."
img_0082,a choker,"A figure consisting of two geometric shapes, a trapezoid-like base and a circle positioned on top. The base resembles a trapezoid bus has 5 sides. Its bottom is a horizontal rectangle and the top corners are cut diagonally. These slanted sides are connected by a horizontal line at the top. At exactly the center of this top horizontal edge, a circle is placed such that it is perfectly halved by the the line. Inside the circle this horizontal line intersects at the center with a vertical line, dividing the circle into four equal parts."
